root,stat,count,mean_dist,avg_prize_in_bin,sum_prize_in_bin,num_terms,cum_prize,per_%_total_prize,cum_%_total_prize,roots_in_bin
1314,"(18.4, 20.6]",18.0,20.20357142857143,1.0406666666666666,18.732,18.0,258.047,4.5046063278993635,62.0542466952513,2.0
1314,"(20.6, 22.8]",15.0,20.20357142857143,1.6794000000000002,25.191000000000003,15.0,283.23800000000006,6.057844224114504,68.11209091936581,0.0
1314,"(22.8, 25.0]",16.0,20.20357142857143,0.9051875,14.483,16.0,297.72100000000006,3.4828215592017133,71.59491247856752,3.0
1314,"(25.0, 27.2]",10.0,20.20357142857143,1.8562999999999998,18.563,10.0,316.28400000000005,4.463965794618615,76.05887827318614,1.0
1314,"(27.2, 29.4]",7.0,20.20357142857143,2.1315714285714287,14.921,7.0,331.20500000000004,3.5881502785920567,79.64702855177819,0.0
1314,"(29.4, 31.6]",11.0,20.20357142857143,2.0015454545454543,22.017,11.0,353.22200000000004,5.294571723326943,84.94160027510513,0.0
1314,"(31.6, 33.8]",7.0,20.20357142857143,2.476142857142857,17.333,7.0,370.55500000000006,4.168179664823813,89.10977993992896,0.0
1314,"(33.8, 36.0]",9.0,20.20357142857143,1.435888888888889,12.923,9.0,383.47800000000007,3.107678175071721,92.21745811500067,2.0
1314,"(36.0, 38.2]",6.0,20.20357142857143,1.5828333333333333,9.497,6.0,392.9750000000001,2.28380558915547,94.50126370415614,0.0
1314,"(40.4, 42.6]",7.0,20.20357142857143,1.3872857142857142,9.711,7.0,402.6860000000001,2.3352675662091995,96.83653127036534,0.0
1314,"(42.6, 44.8]",7.0,20.20357142857143,0.7227142857142858,5.059,7.0,407.7450000000001,1.2165707566113007,98.05310202697666,0.0
1314,"(44.8, 47.0]",6.0,20.20357142857143,1.3493333333333333,8.096,6.0,415.8410000000001,1.9468979730233427,100.0,0.0
1314,3.0-47.0,280.0,20.20357142857143,1.485146428571429,415.8410000000001,280.0,415.8410000000001,100.0,100.0,29.0
1319,5-num Summary,280.0,24.117857142857144,,,280.0,,,,
1319,"(2.0, 4.25]",4.0,24.117857142857144,3.082,12.328,4.0,12.328,2.8042655408356385,2.8042655408356385,0.0
1319,"(4.25, 6.5]",3.0,24.117857142857144,2.0879999999999996,6.263999999999999,3.0,18.592,1.424879895181249,4.229145436016887,0.0
1319,"(6.5, 8.75]",4.0,24.117857142857144,2.70175,10.807,4.0,29.399,2.4582817731838698,6.687427209200758,0.0
