budget,capacity,terminal,root,node,bc_tr_asp,num_interm_nodes,family_size,category,value
125,min,132,1,21,0.006832417433505095,1,2,dominant,6821802.882816058
125,min,136,1,22,0.0026167533486082116,1,2,dominant,6821802.882816058
125,min,144,1,24,0.0009101443806205299,4,1,only_child,8541812.466721177
125,min,144,1,48,0.004625416490922056,4,1,only_child,8541812.466721177
125,min,144,1,45,0.006036491220157679,4,1,only_child,8541812.466721177
125,min,144,1,21,0.006832417433505095,4,1,only_child,8541812.466721177
125,min,160,1,42,0.0031583585511919046,2,2,dominant,5162728.501841529
125,min,160,1,22,0.0026167533486082116,2,2,dominant,5162728.501841529
125,min,183,1,48,0.004625416490922056,3,2,dominant,5331335.241171337
125,min,183,1,45,0.006036491220157679,3,2,dominant,5331335.241171337
125,min,183,1,21,0.006832417433505095,3,2,dominant,5331335.241171337
125,min,443,1141,324,0.01285148544158195,2,1,only_child,4502325.636607452
125,min,443,1141,1148,0.006427823919903145,2,1,only_child,4502325.636607452
125,min,480,302,345,0.00769298343512892,2,1,only_child,9997367.675814806
125,min,480,302,304,0.018618634459969526,2,1,only_child,9997367.675814806
125,min,488,301,347,0.028667694920679245,1,2,dominant,8720063.978964943
125,min,840,601,624,0.0017429782398865965,4,2,dominant,6161306.158584186
125,min,840,601,638,0.006384698441742464,4,2,dominant,6161306.158584186
125,min,840,601,628,0.007640129187979631,4,2,dominant,6161306.158584186
125,min,840,601,633,0.018884346153560678,4,2,dominant,6161306.158584186
125,min,842,601,638,0.006384698441742464,3,1,only_child,9627188.06665995
125,min,842,601,628,0.007640129187979631,3,1,only_child,9627188.06665995
125,min,842,601,633,0.018884346153560678,3,1,only_child,9627188.06665995
125,min,852,601,628,0.007640129187979631,2,3,dominant,2176755.8177108536
125,min,852,601,633,0.018884346153560678,2,3,dominant,2176755.8177108536
125,min,853,601,628,0.007640129187979631,2,3,protected,2039462.2884240944
125,min,853,601,633,0.018884346153560678,2,3,protected,2039462.2884240944
125,min,905,608,718,0.00034163569794847383,1,1,only_child,6189299.534621126
125,min,952,601,652,0.030712533223626683,3,1,only_child,6419223.441107456
125,min,952,601,375,0.019596391976719998,3,1,only_child,6419223.441107456
125,min,952,601,633,0.018884346153560678,3,1,only_child,6419223.441107456
