terminal,nearest_dist,best_dist,best_prize
1207,4,4,1467181.6705152576
1208,6,6,3653656.383812139
1209,4,4,2294490.6708364813
1210,8,8,1171671.3372203389
1211,6,6,1200596.2057804184
1212,10,11,3940682.067572092
1213,7,7,5385513.131008648
1214,5,5,859992.7369363601
1215,10,10,2706917.608174522
1216,10,11,4409485.134311849
1217,6,6,780052.9217081647
1218,8,9,2271105.685713173
1219,9,10,6674770.520014013
1220,8,8,8235622.812558777
1221,6,6,1391731.4092431888
1501,6,6,1295722.6711277785
1502,6,6,4368680.217552811
1504,8,8,4250965.866654093
1505,8,10,4486881.57252813
1506,11,11,3400446.867359786
1507,9,9,3407802.3946789214
1508,8,8,2973218.115991332
1509,2,2,1051891.091751724
1510,4,4,4014897.7007627855
1512,5,5,1166143.653390556
1513,3,3,3023686.2749435664
1514,4,4,2287307.1421461073
1515,5,5,3548115.41913308
1516,7,7,3875322.243175834
1517,6,8,5213466.865355137
1518,4,6,1530008.616489796
1519,8,8,1796572.9469511146
1520,7,7,1964672.9751332444
1521,9,9,3684664.134005235
1522,6,6,2549166.166102058
1523,6,6,2548676.6008694666
1524,6,7,956332.675304866
1525,6,7,665016.0776266691
1526,8,9,2267691.1651996695
1527,3,3,4021824.0111616314
1528,3,3,1266857.7506614786
1529,3,3,2219448.139242879
1530,3,3,2202328.251107255
1531,3,3,1809902.867363287
1532,4,4,1288637.9890463823
1533,4,4,1291353.2649281113
1534,5,5,1479316.1488403527
1535,5,5,2495000.390292799
1536,3,3,1488838.1012193344
1537,3,3,2536803.7478021136
1538,3,3,2458328.434222925
1539,5,5,1239871.2532952516
1540,5,5,1250136.5660475164
1553,8,9,3255805.9540408053
1554,4,4,3273085.708958845
1555,4,4,3319754.3288836763
1556,8,9,4637351.98430443
1557,8,9,549991.8536051939
1558,7,8,3477991.1956484336
1559,7,9,1098418.6269865565
1560,3,3,1330414.3104579996
1561,5,6,4421719.520266668
1562,5,6,3478622.6392206284
1565,5,5,5464869.005383385
1566,9,10,2826563.244022125
1633,5,13,953711.9858611135
1635,4,4,1443906.552182519
1636,7,7,3543750.0690056044
1637,7,7,8164024.148002518
1638,9,9,1760501.7823616823
1639,4,4,375095.3829492975
1640,7,7,1313815.0648529972
1641,7,24,234600.36646835363
1642,4,4,3715369.7371576815
1645,4,4,3366855.206896693
1671,2,2,1542023.4175505352
1672,2,2,1516213.4084751478
1673,3,3,1388390.3175222059
1674,3,3,1404392.6698103761
1675,7,15,629348.6426719767
1676,7,15,319938.94635620364
1677,6,10,697580.5139697937
1678,6,10,345360.6078483413
1679,10,10,5660221.621931407
1680,10,10,1020191.0531193429
1681,8,10,5443703.822885323
