budget,capacity,root,terminal,category,"(1e-05, 1.78e-05]","(1.78e-05, 3.16e-05]","(3.16e-05, 5.62e-05]","(5.62e-05, 0.0001]","(0.0001, 0.000178]","(0.000178, 0.000316]","(0.000316, 0.000562]","(0.000562, 0.001]","(0.001, 0.00178]","(0.00178, 0.00316]","(0.00316, 0.00562]","(0.00562, 0.01]","(0.01, 0.0178]","(0.0178, 0.0316]",Total
150,max,608,912,dominant,0,0,0,0,0,2,0,0,2,0,2,0,0,0,6
150,max,608,913,only_child,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
150,max,1301,1535,protected,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,max,1301,1536,protected,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,max,1301,1537,dominant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,max,1301,1538,protected,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,max,1301,1565,dominant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,max,1649,1687,only_child,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
150,max,1649,1688,only_child,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
150,max,1750,1771,protected,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3
150,max,1750,1772,dominant,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3
150,max,1750,1777,only_child,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
150,max,1750,1778,dominant,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
150,max,1781,1815,dominant,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
150,max,1781,1821,dominant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150,max,1795,1813,dominant,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
150,max,1795,1820,dominant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
